"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4717","test_navigate_from_authorization_to_registration","tests.authentication","Sat Dec 13 14:29:08 UTC 2025","passed","Sat Dec 13 14:29:13 UTC 2025","TestAuthorization","test_authorization","",""
"","4999","test_empty_courses_list","tests.courses","Sat Dec 13 14:29:28 UTC 2025","passed","Sat Dec 13 14:29:33 UTC 2025","TestCourses","test_courses","",""
"","0","User login with correct email and password","LMS system","Sun Jan 25 10:45:34 UTC 2026","broken","Sun Jan 25 10:45:34 UTC 2026","TestAuthorization","Authentication","",""
"","13113","test_edit_course","tests.courses","Sat Dec 13 14:29:43 UTC 2025","passed","Sat Dec 13 14:29:57 UTC 2025","TestCourses","test_courses","",""
"","0","Edit course","LMS system","Sun Jan 25 10:45:35 UTC 2026","broken","Sun Jan 25 10:45:35 UTC 2026","TestCourses","Courses","",""
"","0","Create course","LMS system","Sun Jan 25 10:45:35 UTC 2026","broken","Sun Jan 25 10:45:35 UTC 2026","TestCourses","Courses","",""
"","0","User login with correct email and password","LMS system","Sun Jan 25 10:45:35 UTC 2026","broken","Sun Jan 25 10:45:35 UTC 2026","TestAuthorization","Authentication","",""
"","0","User login with wrong email or password","LMS system","Sun Jan 25 10:45:34 UTC 2026","broken","Sun Jan 25 10:45:34 UTC 2026","TestAuthorization","Authentication","",""
"","0","Edit course","LMS system","Sun Jan 25 10:45:35 UTC 2026","broken","Sun Jan 25 10:45:35 UTC 2026","TestCourses","Courses","",""
"","0","Create course","LMS system","Sun Jan 25 10:45:35 UTC 2026","broken","Sun Jan 25 10:45:35 UTC 2026","TestCourses","Courses","",""
"","6145","test_dashboard_displaying","tests.dashboard","Sat Dec 13 14:29:58 UTC 2025","passed","Sat Dec 13 14:30:04 UTC 2025","TestDashboard","test_dashboard","",""
"","10744","User login with wrong email or password","tests.authentication","Sat Dec 13 14:28:45 UTC 2025","passed","Sat Dec 13 14:28:56 UTC 2025","TestAuthorization","test_authorization","",""
"","0","User login with wrong email or password","LMS system","Sun Jan 25 10:45:34 UTC 2026","broken","Sun Jan 25 10:45:34 UTC 2026","TestAuthorization","Authentication","",""
"","0","Navigation from login page to registration page","LMS system","Sun Jan 25 10:45:35 UTC 2026","broken","Sun Jan 25 10:45:35 UTC 2026","TestAuthorization","Authentication","",""
"","10757","test_successful_authorization","tests.authentication","Sat Dec 13 14:28:57 UTC 2025","passed","Sat Dec 13 14:29:07 UTC 2025","TestAuthorization","test_authorization","",""
"","0","User login with wrong email or password","LMS system","Sun Jan 25 10:45:33 UTC 2026","broken","Sun Jan 25 10:45:33 UTC 2026","TestAuthorization","Authentication","",""
"","5194","User login with wrong email or password","tests.authentication","Sat Dec 13 14:28:30 UTC 2025","passed","Sat Dec 13 14:28:35 UTC 2025","TestAuthorization","test_authorization","",""
"","0","Registration with correct email, username and password","LMS system","Sun Jan 25 10:45:35 UTC 2026","broken","Sun Jan 25 10:45:35 UTC 2026","TestRegistration","Authentication","",""
"","0","User login with wrong email or password","LMS system","Sun Jan 25 10:45:34 UTC 2026","broken","Sun Jan 25 10:45:34 UTC 2026","TestAuthorization","Authentication","",""
"","0","User login with wrong email or password","LMS system","Sun Jan 25 10:45:34 UTC 2026","broken","Sun Jan 25 10:45:34 UTC 2026","TestAuthorization","Authentication","",""
"","0","Check displaying of empty courses list","LMS system","Sun Jan 25 10:45:35 UTC 2026","broken","Sun Jan 25 10:45:35 UTC 2026","TestCourses","Courses","",""
"","0","Check displaying of empty courses list","LMS system","Sun Jan 25 10:45:35 UTC 2026","broken","Sun Jan 25 10:45:35 UTC 2026","TestCourses","Courses","",""
"","7891","User login with wrong email or password","tests.authentication","Sat Dec 13 14:28:37 UTC 2025","passed","Sat Dec 13 14:28:44 UTC 2025","TestAuthorization","test_authorization","",""
"","0","Check displaying of dashboard page","LMS system","Sun Jan 25 10:45:36 UTC 2026","broken","Sun Jan 25 10:45:36 UTC 2026","TestDashboard","Dashboard","",""
"","7094","test_successful_registration","tests.authentication","Sat Dec 13 14:29:14 UTC 2025","passed","Sat Dec 13 14:29:21 UTC 2025","TestRegistration","test_registration","",""
"","7943","test_create_course","tests.courses","Sat Dec 13 14:29:34 UTC 2025","passed","Sat Dec 13 14:29:42 UTC 2025","TestCourses","test_courses","",""
"","0","Navigation from login page to registration page","LMS system","Sun Jan 25 10:45:35 UTC 2026","broken","Sun Jan 25 10:45:35 UTC 2026","TestAuthorization","Authentication","",""
"","0","Check displaying of dashboard page","LMS system","Sun Jan 25 10:45:36 UTC 2026","broken","Sun Jan 25 10:45:36 UTC 2026","TestDashboard","Dashboard","",""
"","0","Registration with correct email, username and password","LMS system","Sun Jan 25 10:45:35 UTC 2026","broken","Sun Jan 25 10:45:35 UTC 2026","TestRegistration","Authentication","",""
"","0","User login with wrong email or password","LMS system","Sun Jan 25 10:45:33 UTC 2026","broken","Sun Jan 25 10:45:33 UTC 2026","TestAuthorization","Authentication","",""
