"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2831","test_successful_authorization","tests.authentication","2025-12-11","passed","2025-12-11","TestAuthorization","test_authorization","",""
"","3601","test_create_course","tests.courses","2025-12-11","passed","2025-12-11","TestCourses","test_courses","",""
"","2587","test_dashboard_displaying","tests.dashboard","2025-12-11","passed","2025-12-11","TestDashboard","test_dashboard","",""
"","5901","test_edit_course","tests.courses","2025-12-11","passed","2025-12-11","TestCourses","test_courses","",""
"","1916","test_wrong_email_or_password_authorization[  -password]","tests.authentication","2025-12-11","passed","2025-12-11","TestAuthorization","test_authorization","",""
"","2663","test_wrong_email_or_password_authorization[user.name@gmail.com-  ]","tests.authentication","2025-12-11","passed","2025-12-11","TestAuthorization","test_authorization","",""
"","2602","test_wrong_email_or_password_authorization[user.name@gmail.com-password]","tests.authentication","2025-12-11","passed","2025-12-11","TestAuthorization","test_authorization","",""
"","2232","test_successful_registration","tests.authentication","2025-12-11","passed","2025-12-11","TestRegistration","test_registration","",""
"","2528","test_navigate_from_authorization_to_registration","tests.authentication","2025-12-11","passed","2025-12-11","TestAuthorization","test_authorization","",""
"","1827","test_empty_courses_list","tests.courses","2025-12-11","passed","2025-12-11","TestCourses","test_courses","",""
